,Lips Color,Mouth,Earrings,Clothes,Hairstyle,Implants,Facial Features,Eyes,Skin Tone,Background,Necklace,Face Accessories,Champion,Guardian,Rarity score,Token Id
6482,Deep Green,Little Smile,Recycled,Sand Queen,Happy Buns,Copper Plating,Blue Bridge,Ice Eye Roll,Light Warm Olive,Wave,None,AR Glasses,None,None,42.172482651069274,6955
6483,Rust,Surprised,Levitating Stars,Streestyle Body,Superior Ponytail,Copper Plating,Eyebrow Stars,Deep Sentient Right,Cool Blue,Wave,Gem Keeper,The Groove,None,None,55.853019663252,6956
6484,Passion,Health Meter,Unlocking Wisdom,Neptune Ward,Lava Flow,Alu Threads,Triple Brow Scar,Ice Straight,Cool Blue,Retro Blue,None,None,None,None,27.122649758728134,6957
6485,Passion,Surprised,Geometric Neons,Jungle Guard,Fuchsia Spirit,Space Crystals,Punktron,Laser Eye Roll,Deep Neutral,Cross,None,None,None,None,12.510968662907384,6958
6486,Blue,Little Smile,Lunar Rings,Neptune Ward,Rebel,Steel Force Bindings,Bioluminescent Scar,Golden Cyborg Right,Medium Gold,Orange Lava,None,None,None,None,14.743579450729131,6959
6487,Blue,Down To Business,Bar Combo,Mind Healer,Asymetric Style,Space Crystals,Child Of Sun,Ice Right,Deep Warm Gold,Green Blue Circles,None,None,None,None,11.098741490167432,6960
6488,Deep Green,Little Smile,Hexa,Fireproof Suit,Disruptor,Steel Force Bindings,Bioluminescent Scar,Ice Eye Roll,Cool Blue,Orange Lava,None,None,None,None,22.385727592023677,6961
6489,Blue,Slightly Open,Lunar Rings,Streestyle Body,Disruptor,Copper Plating,None,Laser Right,Deep Warm Gold,W For WoW,Power of Dhahab,Got Attitude,None,None,50.274211387616006,6962
6490,Passion,Down To Business,Star Diamonds,Neptune Ward,Sugar Rush,Emerald Printed Circuit,Child Of Sun,Flame Straight,Medium Gold,Cross,None,None,None,None,13.347495973586659,6963
6491,Passion,Little Smile,None,Gold Spacesuit,Rebel,Steel Force Bindings,Turquoise,Ice Right,Iridium,Yellow Green Stripes,Yela,Pilot Goggles,None,None,60.961027517698895,6964
6492,Universe,Surprised,Geometric Neons,Feeling Festive,Rebel,Steel Force Bindings,Triple Brow Scar,Binary Green Straight,Cyber Green,Wave,Creators,None,None,None,41.895445071457175,6965
6493,Unstoppable,Munching,Ancient Knowledge,Moon Robe,Creative Freedom,Space Crystals,Blossoming Tears,Deep Sentient Straight,Deep Warm Gold,Purple Blue Spikes,None,None,None,None,26.606155486665955,6966
6494,Rust,Slightly Open,Candy Gem Cuff,Fiery Corset,Scarlet Power,Steel Force Bindings,Feathers Of Resilience,Rainbow Glass Eye Roll,Deep Bronze,Orange Lava,None,The Groove,None,None,35.07388435141471,6967
6495,Universe,Down To Business,Rainbow Steel,Gold Spacesuit,Superior Ponytail,Gems,Heating Power Tattoo,Binary Green Right,Burning Red,Green Blue Circles,Mars Metal,The Groove,None,None,70.96718669677055,6968
6496,Blue,Little Smile,Bar Combo,Holographic Hoodie,Yellow Curls,Gems,Heating Power Tattoo,Laser Eye Roll,Light Medium Warm Gold,Yellow Green Stripes,None,None,None,None,11.800766069807269,6969
6497,Unstoppable,Down To Business,Geometric Neons,Fiery Corset,Super Rainbow,Steel Force Bindings,Child Of Sun,Hypnotic Straight,Light Warm Yellow,Wave,Seeker,None,None,None,35.20029618153039,6970
6498,Rust,Alien Gum,None,Neoprene Bodysuit,Asymetric Style,Copper Plating,Blue Bridge,Rainbow Glass Right,Medium Gold,Cross,Seeker,None,None,None,31.587823075514653,6971
6499,Blue,Munching,Recycled,Fireproof Suit,Street Updo,Steel Force Bindings,Phynx,Hypnotic Eye Roll,Medium Gold,Wave,Protection Pendant,Ultraglasses,None,None,57.44267947699216,6972
6500,Passion,Little Smile,Ancient Knowledge,Rebel Harness,Fuchsia Spirit,Alu Threads,None,Binary Green Straight,Medium Gold,Wave,None,Truth Vision Monocle,None,None,35.58753822495602,6973
6501,Unstoppable,Little Smile,Wave Harnesser,Bomber Jacket,Cyber Mint,Gems,Unseen Protector,Binary Green Right,Medium Gold,Retro Blue,None,None,None,None,16.274084811357728,6975
6502,Peachy,Down To Business,Balanced Planets,Pilot,Disruptor,Pink Network,Fast Healing Stitches,Laser Right,Deep Bronze,Retro Blue,Creators,None,None,None,38.285623224686034,6976
6503,Blue,Health Meter,Bar Combo,Scavenger,Street Updo,Pink Network,Unseen Protector,Hypnotic Straight,Light Medium Warm Gold,W For WoW,None,None,None,None,17.100003703882336,6977
6504,Passion,Kiss,Balanced Planets,Cryptography Tunic,Asymetric Style,Emerald Printed Circuit,Fast Healing Stitches,Golden Cyborg Left,Medium Olive,Retro Blue,Protection Pendant,Pilot Goggles,None,None,63.59168116678738,6978
6505,Unstoppable,Huh But Gold,Hexa,Cairys Suit,Street Updo,Alu Threads,Unseen Protector,Laser Right,Light Warm Olive,Yellow Squares,None,AR Glasses,None,None,49.222533548551404,6979
6506,Passion,Munching,Ice Shards,Blazer,Enchanted Turban,Steel Force Bindings,Fast Healing Stitches,Ice Right,Light Warm Yellow,Retro Blue,Mars Metal,Got Attitude,None,None,66.99701518260976,6980
6507,Unstoppable,Kiss,Balanced Planets,Neoprene Bodysuit,Yellow Curls,Gems,Purple Beauty Piercing,Laser Straight,Deep Bronze,Purple Blue Spikes,Yela,None,None,None,40.05017396523152,6981
6508,Universe,Down To Business,Geometric Neons,Bomber Jacket,Sugar Rush,Emerald Printed Circuit,Blossoming Tears,Laser Right,Light Warm Olive,Retro Blue,None,None,None,None,17.218256699518104,6982
6509,Peachy,Down To Business,Double Gold Hoops,Sand Queen,Happy Buns,Pink Network,None,Ice Right,Cyber Green,Wave,None,Nomad,None,None,39.065667277261404,6983
6510,Unstoppable,Surprised,None,Bomber Jacket,Talisman,Gems,Healing Band,Ice Eye Roll,Medium Gold,Purple Blue Spikes,None,Eye Patch,None,None,41.588643888366086,6985
6511,Universe,Down To Business,None,Bomber Jacket,Energy,Steel Force Bindings,Blossoming Tears,Hypnotic Straight,Deep Neutral,Pink V,None,Isil,None,None,39.35873061101232,6986
6512,Passion,Little Smile,Spiralhani,Cairys Suit,Bald And Bold,Space Crystals,Blue Bridge,Hypnotic Right,Deep Bronze,Wave,None,None,None,None,10.716698559171583,6987
6513,Universe,Little Smile,Rainbow Steel,Moon Robe,Rebel,Emerald Printed Circuit,Unseen Protector,Laser Straight,Light Medium Warm Gold,Yellow Squares,None,None,None,None,18.514821469735278,6988
6514,Passion,Surprised,Recycled,Bomber Jacket,Scarlet Power,Emerald Printed Circuit,Purple Beauty Piercing,Hypnotic Right,Deep Warm Gold,Yellow Green Stripes,None,None,None,None,7.574806530058973,6989
6515,Peachy,Surprised,Geometric Neons,Cryptography Tunic,Rebel,Gold Plaques,Purple Beauty Piercing,Ice Straight,Medium Olive,Interferences,Color Party,Positive Vision,None,None,60.01417942782611,6990
6516,Rust,Munching,Bar Combo,Bomber Jacket,Synthetic Purple,Copper Plating,None,Flame Left,Medium Gold,Yellow Green Stripes,None,None,None,None,7.335437954512394,6992
6517,Rust,Down To Business,Ice Shards,Astrosuit,Might And Pride,Gems,Triple Brow Scar,Flame Straight,Deep Neutral,Retro Blue,Color Party,Ultraglasses,None,None,54.15841040458904,6993
6518,Passion,Slightly Open,Hexa,Bomber Jacket,Scarlet Power,Gold Plaques,None,Hypnotic Straight,Medium Olive,W For WoW,None,None,None,None,6.122233025857787,6994
6519,Peachy,Kiss,Candy Gem Cuff,Gold Spacesuit,Street Updo,Emerald Printed Circuit,Fast Healing Stitches,Golden Cyborg Right,Light Medium Warm Gold,Retro Blue,Seeker,Weather Goggles,None,None,72.858127335589,6995
6520,Passion,Slightly Open,Recycled,Pilot,Shiny Ice Queen,Steel Force Bindings,Blossoming Tears,Binary Green Eye Roll,Cool Blue,Pink V,Yela,Eye Patch,None,None,61.40216648786657,6996
6521,Bicolor,Surprised,Lunar Rings,Streestyle Body,Rebel,Gold Plaques,Purple Beauty Piercing,Ice Left,Deep Neutral,Interferences,None,None,None,None,14.762483703586806,6997
6522,Unstoppable,Slightly Open,Geometric Neons,Bomber Jacket,Creative Freedom,Pink Network,Punktron,Rainbow Glass Left,Light Warm Yellow,Yellow Green Stripes,None,None,None,None,17.441528709064666,6998
6523,Rust,Down To Business,Rainbow Steel,Mind Healer,Talisman,Copper Plating,Moon Lava,Ice Straight,Deep Neutral,Wave,Protection Pendant,None,None,None,30.253629037687084,6999
6524,Blue,Kiss,Star Diamonds,Streestyle Body,Energy,Steel Force Bindings,Triple Brow Scar,Laser Eye Roll,Deep Neutral,Orange Lava,Mars Metal,None,None,None,35.262186871146014,7000
6525,Passion,Surprised,Geometric Neons,Scavenger,Hypersonic,Copper Plating,Neon Septum,Flame Eye Roll,Light Warm Yellow,W For WoW,Creators,None,None,None,34.7538024261769,7001
6526,Rust,Sandstorm Mask,Double Gold Hoops,Bomber Jacket,Happy Buns,Steel Force Bindings,Moon Lava,Binary Green Straight,Golden,W For WoW,None,None,None,None,20.779798742308067,7002
6527,Passion,Surprised,Recycled,Neon Party Pink,Disruptor,Emerald Printed Circuit,Eyebrow Stars,Laser Right,Cyber Green,Yellow Green Stripes,Seeker,Ultraglasses,None,None,56.772899926048005,7003
6528,Rust,Health Meter,Rainbow Steel,Mind Healer,Street Updo,Copper Plating,Neon Septum,Hypnotic Left,Deep Warm Gold,Cross,Synthetic Thorns,Ultraglasses,None,None,61.345681597081736,7004
6529,Blue,Down To Business,Bar Combo,Neoprene Bodysuit,Asymetric Style,Emerald Printed Circuit,Smokey Purple,Hypnotic Eye Roll,Rainbow Bright,Yellow Green Stripes,None,None,None,None,14.4504355255371,7005
6530,Deep Green,Slightly Open,Spiralhani,Blazer,Street Updo,Gems,Purple Beauty Piercing,Deep Sentient Left,Deep Neutral,Purple Blue Spikes,Color Party,None,None,None,38.713335059410554,7006
6531,Rust,Little Smile,Ice Shards,Blazer,Fuchsia Spirit,Steel Force Bindings,Unseen Protector,Rainbow Glass Left,Deep Neutral,Retro Blue,None,Truth Vision Monocle,None,None,35.775951547190196,7007
6532,Rust,Slightly Open,Recycled,Bomber Jacket,Scarlet Power,Gold Plaques,Eyebrow Stars,Binary Green Left,Cool Blue,Yellow Squares,None,Ultraglasses,None,None,31.055019908880315,7009
6533,Rust,Down To Business,Hexa,Streestyle Body,Scarlet Power,Pink Network,Triple Brow Scar,Galaxy Eye Roll,Deep Bronze,Orange Lava,None,Pilot Goggles,None,None,32.932727690556696,7010
6534,Rust,Little Smile,Signal Scrambler,New Era Dress,Fuchsia Spirit,Copper Plating,Phynx,Rainbow Glass Left,Light Warm Olive,Yellow Squares,Silver Moth,Ultraglasses,None,None,52.270118016590835,7011
6535,Unstoppable,Slightly Open,Hexa,Scavenger,Sugar Rush,Gold Plaques,Eyebrow Stars,Binary Green Left,Medium Gold,Interferences,Color Party,None,None,None,37.57550962521294,7012
6536,Blue,Slightly Open,Spiralhani,Star Hunter,Street Updo,Space Crystals,Smokey Purple,Laser Right,Cyber Green,Yellow Green Stripes,Elixir,Ultraglasses,None,None,57.405020125138186,7013
6537,Passion,Health Meter,Bar Combo,Fiery Corset,Happy Buns,Emerald Printed Circuit,Eyebrow Stars,Rainbow Glass Straight,Light Warm Yellow,Yellow Green Stripes,Protection Pendant,None,None,None,36.24398364082334,7014
6538,Passion,Little Smile,Candy Gem Cuff,Cryptography Tunic,Creative Freedom,Gems,Purple Beauty Piercing,Golden Cyborg Straight,Light Medium Warm Gold,Wave,None,Ultraglasses,None,None,37.93592371788919,7015
6539,Passion,Little Smile,None,Star Hunter,Cyber Mint,Alu Threads,Fast Healing Stitches,Deep Sentient Right,Deep Neutral,W For WoW,None,None,None,None,7.693268474190982,7016
6540,Passion,Alien Gum,Rainbow Steel,Sand Queen,Talisman,Gold Plaques,Feathers Of Resilience,Hypnotic Straight,Medium Gold,Purple Blue Spikes,Color Party,Isil,None,None,63.29040736044895,7017
6541,Rust,Kiss,Wave Harnesser,Butterfly Tamer,Asymetric Style,Emerald Printed Circuit,Punktron,Hypnotic Right,Deep Neutral,Interferences,Color Party,None,None,None,34.804947320811515,7018
6542,Rust,Little Smile,Bar Combo,New Era Dress,Disruptor,Steel Force Bindings,Blue Bridge,Binary Green Straight,Medium Gold,W For WoW,Elixir,None,None,None,24.709682079258954,7019
6543,Blue,Slightly Open,Spines,Moon Robe,Sugar Rush,Alu Threads,Child Of Sun,Golden Cyborg Straight,Deep Neutral,Green Blue Circles,None,None,None,None,12.255343204748538,7020
6544,Rust,Munching,Wave Harnesser,Butterfly Tamer,Happy Buns,Pink Network,Unseen Protector,Laser Straight,Light Warm Yellow,Purple Blue Spikes,Color Party,None,None,None,31.76805224557333,7021
6545,Rust,Kiss,Bar Combo,Streestyle Body,Shades Of Red,Steel Force Bindings,Blossoming Tears,Flame Right,Light Medium Warm Gold,Green Blue Circles,Mars Metal,Nomad,None,None,56.746056683116684,7022
6546,Rust,Down To Business,Lunar Rings,New Era Dress,Disruptor,Pink Network,Blue Bridge,Binary Green Left,Deep Bronze,Retro Blue,Yela,Got Attitude,None,None,49.545270116135754,7024
6547,Blue,Kiss,Geometric Neons,Fireproof Suit,Happy Buns,Gold Plaques,Unseen Protector,Hypnotic Right,Light Medium Warm Gold,Orange Lava,Power of Dhahab,None,None,None,33.559461267320614,7025
6548,Bicolor,Surprised,Lunar Rings,Ambassador Attire,Sugar Rush,Emerald Printed Circuit,Eyebrow Stars,Hypnotic Right,Deep Bronze,Cross,None,None,None,None,13.715976524013861,7026
6549,Rust,Slightly Open,Wave Harnesser,Fiery Corset,Synthetic Purple,Gems,None,Ice Straight,Light Warm Olive,Yellow Green Stripes,None,Queen Of The Desert,None,None,29.98995955924217,7027
6550,Unstoppable,Surprised,Bar Combo,Fiery Corset,Creative Freedom,Alu Threads,Fast Healing Stitches,Laser Left,Burning Red,Cross,Protection Pendant,None,None,None,35.54731860879091,7028
6551,Blue,Surprised,Rainbow Steel,Sand Queen,Enchanted Turban,Gold Plaques,Green Cleo,Ice Eye Roll,Light Medium Warm Gold,Wave,Color Party,Nomad,None,None,58.07480644586243,7029
6552,Rust,Health Meter,Spines,Bomber Jacket,Bald And Bold,Gold Plaques,Green Cleo,Deep Sentient Left,Light Medium Warm Gold,Orange Lava,None,Got Attitude,None,None,44.160208513721486,7030
6553,Bicolor,Slightly Open,Recycled,Bomber Jacket,Fuchsia Spirit,Alu Threads,Unseen Protector,Ice Eye Roll,Light Medium Warm Gold,Yellow Squares,None,None,None,None,14.808048574592695,7033
6554,Blue,Slightly Open,Spiralhani,Fiery Corset,Creative Freedom,Pink Network,Eyebrow Stars,Golden Cyborg Straight,Rainbow Bright,Orange Lava,Creators,Stats Tracker,None,None,62.58300367789319,7034
6555,Bicolor,Kiss,Double Gold Hoops,Moon Robe,Shades Of Red,Gems,Eyebrow Stars,Laser Right,Deep Bronze,Purple Blue Spikes,None,None,None,None,21.928347409679468,7035
6556,Blue,Health Meter,Geometric Neons,Feeling Festive,Happy Buns,Gems,None,Hypnotic Straight,Deep Warm Gold,Cross,Silver Moth,AR Glasses,None,None,62.32478010583555,7036
6557,Passion,Down To Business,Hexa,Neoprene Bodysuit,Superior Ponytail,Space Crystals,Blossoming Tears,Hypnotic Straight,Deep Warm Gold,Purple Blue Spikes,Color Party,Isil,None,None,54.85773496793267,7037
6558,Blue,Surprised,Rainbow Steel,Fireproof Suit,Rebel,Alu Threads,Smokey Purple,Rainbow Glass Straight,Medium Olive,Interferences,Color Party,Queen Of The Desert,None,None,60.261664850305976,7038
6559,Bicolor,Surprised,Signal Scrambler,Ambassador Attire,Happy Buns,Emerald Printed Circuit,Bioluminescent Scar,Rainbow Glass Left,Medium Olive,Cross,None,None,None,None,19.173860867594477,7039
6560,Deep Green,Kiss,None,Sand Queen,Talisman,Copper Plating,Feathers Of Resilience,Flame Straight,Golden,Interferences,Hexagon Field,None,None,None,46.522051598543115,7040
6561,Passion,Down To Business,None,Bomber Jacket,Superior Ponytail,Space Crystals,Bioluminescent Scar,Flame Eye Roll,Light Warm Olive,Yellow Squares,None,Got Attitude,None,None,33.07781527935357,7041
6562,Deep Green,Munching,Spiralhani,New Era Dress,Might And Pride,Gems,Child Of Sun,Deep Sentient Straight,Burning Red,Pink V,Creators,None,None,None,45.01303193371958,7042
6563,Deep Green,Slightly Open,None,Astrosuit,Synthetic Purple,Alu Threads,Purple Beauty Piercing,Hypnotic Eye Roll,Deep Bronze,Yellow Green Stripes,Seeker,None,None,None,34.546684517095635,7043
6564,Blue,Slightly Open,Levitating Stars,Bomber Jacket,Big Burgundy,Emerald Printed Circuit,Turquoise,Binary Green Left,Deep Bronze,Pink V,None,AR Glasses,None,None,43.48234520768669,7044
6565,Rust,Huh But Gold,Bar Combo,Streestyle Body,Big Burgundy,Copper Plating,None,Flame Eye Roll,Deep Neutral,Retro Blue,None,Eye Patch,None,None,37.513664058936655,7045
6566,Blue,Little Smile,Double Gold Hoops,Blazer,Street Updo,Copper Plating,None,Flame Right,Medium Gold,Pink V,Elixir,Positive Vision,None,None,56.202668033161906,7046
6567,Unstoppable,Health Meter,Candy Gem Cuff,Astrosuit,Asymetric Style,Alu Threads,Triple Brow Scar,Ice Left,Deep Bronze,Wave,None,None,None,None,26.584720553345342,7047
6568,Rust,Down To Business,Recycled,Bomber Jacket,Scarlet Power,Emerald Printed Circuit,Fast Healing Stitches,Laser Left,Light Warm Olive,Pink V,None,AR Glasses,None,None,30.50899153160752,7048
6569,Passion,Little Smile,Bar Combo,Bomber Jacket,Asymetric Style,Pink Network,Turquoise,Flame Right,Light Warm Yellow,Green Blue Circles,None,None,None,None,11.623200443025858,7049
6570,Passion,Down To Business,Star Diamonds,Pilot,Disruptor,Copper Plating,Blue Bridge,Laser Straight,Deep Warm Gold,Interferences,Gem Keeper,Stats Tracker,None,None,56.99349660950529,7050
6571,Blue,Slightly Open,Wave Harnesser,Star Hunter,Sugar Rush,Alu Threads,Healing Band,Golden Cyborg Straight,Light Warm Yellow,Cross,None,None,None,None,14.644110255712464,7051
6572,Blue,Little Smile,None,Cairys Suit,Street Updo,Copper Plating,Eyebrow Stars,Deep Sentient Right,Light Medium Warm Gold,Retro Blue,None,None,None,None,7.9675704387356205,7052
6573,Passion,Little Smile,Spines,Fiery Corset,Royal Warrior,Space Crystals,Eyebrow Stars,Rainbow Glass Eye Roll,Deep Bronze,Wave,Power of Dhahab,None,None,None,34.492874075126366,7053
6574,Blue,Down To Business,Signal Scrambler,Jungle Guard,Yellow Curls,Gold Plaques,Racer Mark,Ice Right,Medium Olive,Orange Lava,Protection Pendant,None,None,None,34.88020849280512,7054
6575,Passion,Surprised,Lunar Rings,Moon Robe,Synthetic Purple,Gold Plaques,Feathers Of Resilience,Hypnotic Eye Roll,Deep Neutral,Cross,None,Weather Goggles,None,None,37.89817437464346,7055
6576,Peachy,Little Smile,Rainbow Steel,Rebel Harness,Fuchsia Spirit,Emerald Printed Circuit,Smokey Purple,Hypnotic Straight,Medium Olive,Wave,None,None,None,None,18.23508613069543,7056
6577,Rust,Little Smile,Candy Gem Cuff,Rebel Harness,Cyber Mint,Alu Threads,Bioluminescent Scar,Binary Green Left,Cool Blue,Pink V,None,The Groove,None,None,38.01922377444517,7057
6578,Unstoppable,Kiss,Unlocking Wisdom,Blazer,Disruptor,Steel Force Bindings,WoW Tattoo,Hypnotic Right,Medium Olive,Interferences,Silver Moth,None,None,None,46.30416307883121,7058
6579,Passion,Surprised,Ancient Knowledge,Bomber Jacket,Might And Pride,Steel Force Bindings,Racer Mark,Deep Sentient Straight,Medium Gold,Purple Blue Spikes,None,AR Glasses,None,None,42.53550388511814,7059
6580,Rust,Sandstorm Mask,Spiralhani,Blazer,Asymetric Style,Alu Threads,None,Laser Eye Roll,Medium Gold,W For WoW,Elixir,None,None,None,32.97848721536653,7060
6581,Unstoppable,Munching,Geometric Neons,Cryptography Tunic,Might And Pride,Pink Network,Eyebrow Stars,Binary Green Eye Roll,Medium Gold,Purple Blue Spikes,Gem Keeper,Queen Of The Desert,None,None,64.7267689837858,7061
6582,Blue,Huh But Gold,Ice Shards,Cairys Suit,Happy Buns,Alu Threads,Punktron,Hypnotic Straight,Medium Olive,Yellow Squares,None,Queen Of The Desert,None,None,46.61876600776475,7062
6583,Blue,Little Smile,Candy Gem Cuff,Butterfly Tamer,Creative Freedom,Space Crystals,None,Ice Left,Deep Bronze,Wave,Seeker,Truth Vision Monocle,None,None,57.64980691146678,7063
6584,Passion,Little Smile,Signal Scrambler,Fiery Corset,Talisman,Gems,Unseen Protector,Laser Eye Roll,Cyber Green,Interferences,Silver Moth,Weather Goggles,None,None,59.61340722060151,7064
6585,Blue,Down To Business,Bar Combo,Moon Robe,Sugar Rush,Pink Network,Phynx,Deep Sentient Right,Deep Bronze,Yellow Green Stripes,None,None,None,None,10.864644220707333,7065
6586,Blue,Munching,Hexa,Cryptography Tunic,Superior Ponytail,Gold Plaques,Smokey Purple,Flame Straight,Medium Olive,Wave,Protection Pendant,None,None,None,36.29239768748867,7066
